parameter,value,merchant_unserved_gwh,esem_unserved_gwh,merchant_mean_price,esem_mean_price,merchant_bill,esem_bill,bill_move,resource_cost_move,transfer,outage_avoided,plant_and_fuel_saved,merchant_built_mw,esem_built_mw,awarded_mw,levy
esem.contract_tenor_years,6,35.578113761048265,14.306327917315679,86.20889840182647,79.63618721461187,138324055448.08063,126868426991.02286,11455628457.05777,-2475273795.771057,13930902252.828827,431817252.6277715,-2907091048.3988285,55500.0,45300.0,12050.0,1843485149.6382072
esem.contract_tenor_years,12,35.578113761048265,10.358761544574792,86.20889840182647,82.11967465753425,138324055448.08063,132782678613.33392,5541376834.746704,-865403476.2467194,6406780310.993423,511952849.99441147,-1377356326.2411308,55500.0,43450.0,14750.0,3955726718.076852
esem.contract_tenor_years,18,35.578113761048265,10.358761544574792,86.20889840182647,82.42357876712329,138324055448.08063,133566058564.46782,4757996883.612808,-1184416194.0191498,5942413077.631958,511952849.99441147,-1696369044.0135612,55500.0,46700.0,13800.0,4294211192.9454665
