shape_year,mean_price,block_overnight,block_morning,block_solar,block_peak,hours_ge_300,days_with_300_hour,hours_at_cap,administered_hours,unserved_gwh,unserved_fraction,water_value
0,51.04,47.02,39.6,17.4,97.66,11,0.0137,4,0,1.0476,2.303e-05,47.0
1,46.4,47.17,41.42,19.01,76.07,5,0.0082,2,0,0.2979,6.36e-06,47.0
2,48.23,47.12,39.7,16.5,87.12,7,0.011,3,0,0.8105,1.745e-05,47.0
3,49.88,47.13,39.54,17.72,92.6,13,0.0219,2,0,0.5232,1.139e-05,47.0
4,67.02,47.42,40.36,18.5,159.45,20,0.0192,9,0,3.3577,7.015e-05,47.0
